"","id","ulke","oran","mutluluk"
"1","11111111","ulkeismi",0,"Bilinmiyor"
"2","2yifjzfwoDQHO0x4dM44RP","Top 50 Belgium",68.523,"az hareketli"
"3","1JXiGdoMMNhNmJCFhtBSf8","Top 50 Czech Republic",64.796,"hareketsiz"
"4","3bZIPyJ1rBQGgMCaulEJvd","Top 50 Denmark",63.126,"hareketsiz"
"5","5QVmQWZG93jAyDPHOfDiIM","Spotify Top 50 Estonia",61.913,"hareketsiz"
"6","5K3K1RToDI5hZUXiS5BYFd","Spotify Top 50 Finland",66.153,"az hareketli"
"7","23psvx6vUY6pmJHxE5yagM","Top 50 France",69.783,"Çok hareketli"
"8","6HiZDoQlmYliE3RhFm4Fek","Top 50 Germany",93.334,"Çok hareketli"
"9","6IsASQ8NFgZMPdpUYJ7xZ8","Top 50 Greece",65.776,"az hareketli"
"10","2hhBY8O3h8hL5MzTQmlWZs","Top 50 Iceland",64.948,"hareketsiz"
"11","3t8srEYVVgNI2b1Jx8MREC","Top 50 Ireland",63,"hareketsiz"
"12","4XQ0e2fT5PASVeSUdfnveU","Top 50 Italy",71.683,"Çok hareketli"
"13","1LG0LZpDLpp1AAV5oGROsE","Top 50 Latvia",63.781,"hareketsiz"
"14","0Npd09YvUmacwKLKJ4LsIT","Top 50 Lithuania",65.446,"hareketsiz"
"15","1eqwvQHRiCFC9926nfh2d8","Top 50 Netherlands",77.031,"Çok hareketli"
"16","6d5qeOdgVi0Lm6t4wvwM2I","Top 50 Norway",58.384,"hareketsiz"
"17","6IKdWr9knWy7cUsXftgfGZ","Top 50 Poland",65.997,"az hareketli"
"18","6FD2g7R1tezpU8QnhJ3FsX","Top 50 Portugal",69.165,"az hareketli"
"19","6WrpeNyqtoq6PEDXyuamGt","Top 50 Slovakia",62.912,"hareketsiz"
"20","1vc0RKeYOU1wFt3cVd9TkO","Top 50 Spain",69.526,"Çok hareketli"
"21","32g1QdVZbo696md2nCP6kF","Top 50 Sweden",60.814,"hareketsiz"
"22","7wQcQdErtJp448tBWfM8Wi","Top 50 Switzerland",65.816,"az hareketli"
"23","0rkeWiJ7L3BRuXDWqmgZSZ","Top 50 Turkey",70.556,"Çok hareketli"
