"","x"
"1","High Energic"
"2","High Energic"
"3","Low Enerjic"
"4","Energic"
"5","High Energic"
"6","Energic"
"7","Low Enerjic"
"8","Low Enerjic"
"9","High Energic"
"10","Energic"
"11","Low Enerjic"
"12","Energic"
"13","High Energic"
"14","Low Enerjic"
"15","High Energic"
"16","Low Enerjic"
"17","Low Enerjic"
"18","Energic"
"19","High Energic"
"20","Energic"
"21","High Energic"
"22","Low Enerjic"
"23","Low Enerjic"
"24","Low Enerjic"
"25","High Energic"
"26","High Energic"
"27","Low Enerjic"
"28","Energic"
"29","Low Enerjic"
"30","High Energic"
"31","Low Enerjic"
"32","High Energic"
"33","High Energic"
"34","Energic"
"35","Energic"
"36","Low Enerjic"
"37","High Energic"
"38","Energic"
"39","Low Enerjic"
"40","Low Enerjic"
"41","Energic"
"42","Energic"
"43","High Energic"
"44","Energic"
"45","Low Enerjic"
"46","Energic"
"47","High Energic"
"48","Energic"
"49","Low Enerjic"
"50","Low Enerjic"
"51","Low Enerjic"
"52","Energic"
"53","Energic"
"54","Low Enerjic"
"55","High Energic"
"56","Low Enerjic"
"57","Low Enerjic"
"58","Energic"
"59","Low Enerjic"
"60","Low Enerjic"
"61","Low Enerjic"
"62","High Energic"
"63","Energic"
"64","High Energic"
"65","Energic"
"66","Low Enerjic"
"67","Energic"
"68","Low Enerjic"
"69","Low Enerjic"
"70","Low Enerjic"
"71","High Energic"
"72","High Energic"
"73","Low Enerjic"
"74","Energic"
"75","Low Enerjic"
"76","High Energic"
"77","Energic"
"78","Energic"
"79","Low Enerjic"
"80","Energic"
"81","Energic"
"82","High Energic"
"83","High Energic"
"84","Low Enerjic"
"85","Low Enerjic"
"86","Low Enerjic"
"87","Energic"
"88","High Energic"
"89","Energic"
"90","Energic"
"91","High Energic"
"92","Low Enerjic"
"93","Low Enerjic"
"94","Low Enerjic"
"95","Low Enerjic"
"96","Energic"
"97","Low Enerjic"
"98","High Energic"
"99","Energic"
"100","Energic"
